Seed Code,LA Name,Centre Type,School Name,Address Line1,Address Line2,Address Line3,Post Code,Unique Property Reference Number (UPRN),Email,Phone Number,Website Address,Pre-school Department,Primary Department,Secondary Department,Special Department,Gaelic Unit,Integrated Special Unit,Denomination
5400724,Fife,Local Authority,Aberhill Primary School,Wellesley Road,Methil,LEVEN,KY8 3AD,320179203,Aberhillps.enquiries@fife.gov.uk,01334 659446,http://www.fife.gov.uk/atoz/index.cfm?fuseaction=facility.display&ORGID=60304273-A856-11D6-BF4D0002A5349AC9&facid=C35EFFDA-A152-44C9-84F09F714F89D4F2,No,Yes,No,No,No,No,Non-denominational
5552621,East Lothian,Local Authority,Aberlady Primary School,Moor Road,Aberlady,EAST LOTHIAN,EH32 0RQ,138023600,aberlady.ps@aberlady.elcshool.org.uk,01875 870232,http://edubuzz.org/aberlady/,Yes,Yes,No,No,No,No,Non-denominational
5300126,Angus,Local Authority,Aberlemno Primary School,School Road,Aberlemno,FORFAR,DD8 3PE,117097853,AberlemnoPS@angusschools.org.uk,01307 494250,http://www.aberlemno.angus.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
5209722,Moray,Local Authority,Aberlour Primary School,Mary Avenue,Aberlour,MORAY,AB38 9PN,133002295,admin.aberlourp@moray-edunet.gov.uk,01340 871255,https://twitter.com/aberlourps?lang=en,Yes,Yes,No,No,No,Yes,Non-denominational
5145023,Highland,Local Authority,Abernethy Primary School,Nethybridge,,,PH25 3ED,130110305,abernethy.primary@highland.gov.uk,01479 821274,http://abernethyprimary.org.uk,Yes,Yes,No,No,No,No,Non-denominational
5340128,Perth & Kinross,Local Authority,Abernethy Primary School,78 Main Street,Abernethy,,PH2 9LA,124079344,Abernethy@pkc.gov.uk,01738 472676,http://www.abernethyprimary.org.uk,Yes,Yes,No,No,No,No,Non-denominational
5340225,Perth & Kinross,Local Authority,Abernyte Primary School,Abernyte,Inchture,,PH14 9ST,124062128,Abernyte@pkc.gov.uk,01738 459590,https://blogs.glowscotland.org.uk/pk/AbernytePrimarySchool/,No,Yes,No,No,No,No,Non-denominational
5340322,Perth & Kinross,Local Authority,Aberuthven Primary School,Main Road,Aberuthven,PERTHSHIRE,PH3 1HE,124040503,Aberuthven@pkc.gov.uk,01764 661410,http://www.aberuthvenprimary.org.uk/,No,Yes,No,No,No,No,Non-denominational
8545022,South Lanarkshire,Local Authority,Abington Primary School,Carlisle Road,Abington,BIGGAR,ML12 6SD,484121842,office@abington-pri.s-lanark.sch.uk,01864 502341,http://www.abington-pri.s-lanark.sch.uk/,No,Yes,No,No,No,No,Non-denominational
5257530,Aberdeenshire,Local Authority,Aboyne Academy,Bridgeview Road,Aboyne,ABERDEENSHIRE,AB34 5JN,151085007,aboyne.aca@aberdeenshire.gov.uk,01339 267750,http://www.aboyneacademy.com/,No,No,Yes,No,No,Yes,Non-denominational
5256127,Aberdeenshire,Local Authority,Aboyne Primary School,Morven Plance,Aboyne,ABERDEENSHIRE,AB34 5JN,151650719,aboyne.sch@aberdeenshire.gov.uk,01339 267680,http://www.aboyne-pri.aberdeenshire.sch.uk/,Yes,Yes,No,No,No,Yes,Non-denominational
8357021,North Lanarkshire,Local Authority,Abronhill Primary School,Medlar Road,Abronhill,CUMBERNAULD,G67 3AJ,118037738,ht@abronhill-pri.n-lanark.sch.uk,01236 794870,http://www.abronhill-pri.n-lanark.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
8100128,Argyll & Bute,Local Authority,Achahoish Primary School,Achahoish,Lochgilphead,ARGYLL,PA31 8NZ,125070825,enquiries-achahoish@argyll-bute.gov.uk,01880 770288,http://www.achahoish.argyll-bute.sch.uk,No,Yes,No,No,No,No,Non-denominational
8100225,Argyll & Bute,Local Authority,Achaleven Primary School,Connel,By Oban,ARGYLL,PA37 1PH,125063616,enquiries-achaleven@argyll-bute.gov.uk,01631 710529,http://www.achaleven.argyll-bute.sch.uk/,No,Yes,No,No,No,No,Non-denominational
5130123,Highland,Local Authority,Acharacle Primary School,Acharacle,Argyll,,PH36 4JU,130111370,acharacle.primary@highland.gov.uk,01967 431645,https://acharaclenews.wordpress.com/,Yes,Yes,No,No,Yes,No,Non-denominational
5113024,Highland,Local Authority,Achiltibuie Primary School,Achiltibuie,Ullapool,,IV26 2YG,130111569,achiltibuie.primary@highland.gov.uk,01854 622267,http://achiltibuieprimary.wordpress.com,Yes,Yes,No,No,No,No,Non-denominational
5500125,West Lothian,Local Authority,Addiewell Primary School,Church Street,Addiewell,WEST CALDER,EH55 8PG,200004137619,wladdiewell-ps@westlothian.org.uk,01501 762794,http://www.addiewellprimary.westlothian.org.uk/,Yes,Yes,No,No,No,No,Non-denominational
5935121,Dumfries & Galloway,Local Authority,Ae School,Ae Village,Dumfries,,DG1 1RG,137061011,gw08officeae@ea.dumgal.sch.uk,01387 860229,http://www.aevillageprimaryschool.co.uk/,No,Yes,No,No,No,No,Non-denominational
8640122,Inverclyde,Local Authority,Aileymill Primary School,Norfolk Road,,GREENOCK,PA16 0JG,119052180,INAileymill@glowscotland.onmicrosoft.com,01475 715647,http://aileymillprimary.inverclyde.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
8505438,North Lanarkshire,Local Authority,Airdrie Academy,South Commonhead Avenue,Airdrie,,ML6 6NX,118140728,ht@airdrie.n-lanark.sch.uk,01236 757675,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5910,No,No,Yes,No,No,No,Non-denominational
5300223,Angus,Local Authority,Airlie Primary School,Kirkton Road,Airlie,KIRRIEMUIR,DD8 5NP,117083272,Airlie@angusschools.org.uk,01575 526149,http://www.airlieprimaryschool.org/,Yes,Yes,No,No,No,No,Non-denominational
5740223,Falkirk,Local Authority,Airth Primary School,Elphinstone Crescent,Airth,FALKIRK,FK2 8JX,136035495,airthprimaryschool@falkirk.gov.uk,01324 831265,http://www.airth.falkirk.sch.uk,Yes,Yes,No,No,No,No,Non-denominational
5237629,Aberdeen City,Local Authority,Airyhall School,Countesswells Road,Aberdeen,,AB15 8AD,9051018828,airyhall@aberdeencity.gov.uk,01224 498050,http://www.airyhall.aberdeen.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
6103030,Shetland Islands,Local Authority,Aith Junior High School,Aith,Shetland,,ZE2 9NB,30100006738,aith@shetland.gov.uk,01595 807400,http://www.aith.shetland.sch.uk/,Yes,Yes,Yes,No,No,Yes,Non-denominational
8301727,West Dunbartonshire,Local Authority,Aitkenbar Primary School,Bellsmyre Campus,Howatshaws Road,DUMBARTON,G82 3DR,129056552,SchoolOffice.Aitkenbar@west-dunbarton.gov.uk,01389 773901,http://www.scottishschools.info/aitkenbar/,No,Yes,No,No,No,No,Non-denominational
8519323,North Lanarkshire,Local Authority,Aitkenhead Primary School,Lincoln Avenue,Tannochside,UDDINGSTON,G71 5QZ,118114657,ht@aitkenhead.n-lanark.sch.uk,01698 522710,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5746,No,Yes,No,No,No,No,Non-denominational
5137527,Highland,Local Authority,Aldourie Primary School,Aldourie,By Inverness,,IV2 6DP,130110242,aldourie.primary@highland.gov.uk,01463 751272,http://aldourieprimaryschool.com/,No,Yes,No,No,No,No,Non-denominational
5232422,Aberdeenshire,Local Authority,Alehousewells School,Bremner Way,Kemnay Inverurie,ABERDEENSHIRE,AB51 5FW,151085026,alehousewells.sch@aberdeenshire.gov.uk,01467 536910,http://www.alehousewells.aberdeenshire.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
8516421,North Lanarkshire,Local Authority,Alexander Peden Primary,West Main Street,Harthill,SHOTTS,ML7 5TU,118058575,ht@alexanderpeden.n-lanark.sch.uk,01501 826709,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5747,Yes,Yes,No,No,No,No,Non-denominational
8405328,Glasgow City,Local Authority,Alexandra Parade Primary School,136 Armadale Street,,GLASGOW,G31 2TL,906700134270,headteacher@alexandraparade-pri.glasgow.sch.uk,0141 554 3742,http://www.alexandraparade-pri.glasgow.sch.uk,No,Yes,No,No,No,No,Non-denominational
5230934,Aberdeenshire,Local Authority,Alford Academy,Alford Community Campus,Greystone Road,ALFORD,AB33 8TY,151085030,alford.aca@aberdeenshire.gov.uk,019755 20430,http://www.alfordacademy.aberdeenshire.sch.uk/,No,No,Yes,No,No,Yes,Non-denominational
5224020,Aberdeenshire,Local Authority,Alford Primary School,Alford Community Campus,Greystone Road,ALFORD,AB33 8TY,151085030,alford.sch@aberdeenshire.gov.uk,019755 20390,http://www.alford-pri.aberdeenshire.sch.uk/,Yes,Yes,No,No,No,Yes,Non-denominational
8640220,Inverclyde,Local Authority,All Saints Primary School,Blairmore Road,,GREENOCK,PA15 3JS,119052385,INAllSaints@glowscotland.onmicrosoft.com,01475 715640,http://allsaintsprimary.inverclyde.sch.uk/,No,Yes,No,No,No,Yes,Roman Catholic
8500320,North Lanarkshire,Local Authority,All Saints Primary School,88 Bellsdyke Road,Cairnhill,AIRDRIE,ML6 9DW,118183657,ht@allsaints.n-lanark.sch.uk,01236 794808,http://www.northlanarkshire.gov.uk/index.aspx?articleid=5750,No,Yes,No,No,No,No,Roman Catholic
8431930,Glasgow City,Local Authority,All Saints Secondary School,299 Ryehill Road,,GLASGOW,G21 3EN,906700375787,headteacher@allsaints-sec.glasgow.sch.uk,0141 582 0010,http://www.allsaints-sec.glasgow.sch.uk,No,No,Yes,No,No,No,Roman Catholic
5724821,Stirling,Local Authority,Allan's Primary School,29 Spittal Street,Stirling,,FK8 1DU,122018491,allanps@stirling.gov.uk,01786 237935,https://blogs.glowscotland.org.uk/st/allansprimary/,Yes,Yes,No,No,No,No,Non-denominational
8510326,North Lanarkshire,Local Authority,Allanton Primary School,Dura Road,Allanton,SHOTTS,ML7 5AB,118051150,ht@allanton.n-lanark.sch.uk,01501 826703,http://www.allanton.n-lanark.sch.uk,Yes,Yes,No,No,No,No,Non-denominational
5702534,Clackmannanshire,Local Authority,Alloa Academy,Bowhouse Road,Alloa,,FK10 1DN,35025490,alloa@edu.clacks.gov.uk,01259 214979,http://alloaacademy.com/,No,No,Yes,Yes,No,Yes,Non-denominational
8230625,South Ayrshire,Local Authority,Alloway Primary School,16 Doonholm Road,Ayr,,KA7 4QQ,141061344,alloway.mail@south-ayrshire.gov.uk,01292 612490,http://www.alloway.sayr.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
5120136,Highland,Local Authority,Alness Academy,Dalmore,,ALNESS,IV17 0UY,130103263,alness.academy@highland.gov.uk,01349 883341,http://alnessacademy.wordpress.com,No,No,Yes,No,No,No,Non-denominational
5702836,Clackmannanshire,Local Authority,Alva Academy,Academy Avenue,Alva,,FK12 5FE,35025570,alva@edu.clacks.gov.uk,01259 760342,http://alvaacademy.com/,No,No,Yes,No,No,Yes,Non-denominational
5700825,Clackmannanshire,Local Authority,Alva Primary School,Brook Street,Alva,,FK12 5LY,35007154,alvaprimary@edu.clacks.gov.uk,01259 760987,https://blogs.glowscotland.org.uk/cl/alvaprimaryschool/,Yes,Yes,No,Yes,No,Yes,Non-denominational
5200326,Moray,Local Authority,Alves Primary School,Main Road,Alves,MORAY,IV30 8UR,133001409,admin.alvesp@moray-edunet.gov.uk,01343 850247,https://blogs.glowscotland.org.uk/my/alves/,No,Yes,No,No,No,No,Non-denominational
5145120,Highland,Local Authority,Alvie Primary School,Kincraig,Kingussie,,PH21 1ND,130107391,alvie.primary@highland.gov.uk,01540 651238,http://www.alvieprimaryschool.org.uk/,No,Yes,No,No,No,No,Non-denominational
5352223,Perth & Kinross,Local Authority,Alyth Primary School,Albert Street,Alyth,,PH11 8AX,124008060,alyth@pkc.gov.uk,01250 871370,http://www.alythprimaryschool.org.uk,Yes,Yes,No,No,No,No,Non-denominational
5935229,Dumfries & Galloway,Local Authority,Amisfield School,Amisfield,Dumfries,,DG1 3LN,137061813,gw08officeamisfield@ea.dumgal.sch.uk,01387 710320,http://www.dumgal.gov.uk/article/15432/Amisfield-Primary-School,No,Yes,No,No,No,No,Non-denominational
5630029,Scottish Borders,Local Authority,Ancrum Primary School,Jedburgh,Roxburghshire,,TD8 6XA,116048131,ancrumps@scotborders.gov.uk,01835 830208,https://www.scotborders.gov.uk/directory_record/20088/ancrum_primary_school,No,Yes,No,No,No,No,Non-denominational
5323320,Dundee City,Local Authority,Ancrum Road Primary School,47 Ancrum Road,Dundee,,DD2 2HX,9059036733,ancrumroad.primary@dundeecity.gov.uk,01382 435929,http://ancrumroad.ea.dundeecity.sch.uk/,No,Yes,No,No,No,No,Non-denominational
6103634,Shetland Islands,Local Authority,Anderson High School,North Loch Drive,Lerwick,SHETLAND,ZE1 0GR,30100000033,anderson@shetland.gov.uk,01595 808008,http://www.anderson.shetland.sch.uk/,No,No,Yes,No,No,Yes,Non-denominational
5201322,Moray,Local Authority,Anderson's Primary School,High Street,Forres,MORAY,IV36 1DB,133039538,admin.andersonsp@moray-edunet.gov.uk,01309 672887,https://blogs.glowscotland.org.uk/my/AndersonsPrimary/,No,Yes,No,No,No,No,Non-denominational
8405425,Glasgow City,Local Authority,Anderston Primary School,7 Port Street,,GLASGOW,G3 8HY,906700081806,headteacher@anderston-pri.glasgow.sch.uk,0141 221 1263,http://www.anderston-pri.glasgow.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
5301424,Angus,Local Authority,Andover Primary School,50A Drumachlie Park,Brechin,,DD9 7BU,117083810,Andover@angusschools.org.uk,01356 237129,http://www.andoverprimary.org/,Yes,Yes,No,No,No,Yes,Non-denominational
5221447,Aberdeenshire,Local Authority,Anna Ritchie School,Grange Gardens,Peterhead,ABERDEENSHIRE,AB42 2AP,151085042,annaritchie.sch@aberdeenshire.gov.uk,01779 403670,http://www.annaritchie.aberdeenshire.sch.uk/,Yes,No,No,Yes,No,No,Non-denominational
5948339,Dumfries & Galloway,Local Authority,Annan Academy,St John's Road,Annan,DUMFRIESSHIRE,DG12 6AP,137020551,gw08officeannan@ea.dumgal.sch.uk,01461 202954,http://annanacademyorguk.ipage.com/index.html,No,No,Yes,No,No,Yes,Non-denominational
8221723,East Ayrshire,Local Authority,Annanhill Primary School,Beech Avenue,Kilmarnock,,KA1 2EW,127066833,emma.johnstone@east-ayrshire.gov.uk,01563 549988,https://blogs.glowscotland.org.uk/ea/annanhillprimaryschool/,No,Yes,No,No,No,No,Non-denominational
8230323,South Ayrshire,Local Authority,Annbank Primary School,39 Annbank Road,Mossblown,AYR,KA6 5DZ,141047318,annbank.mail@south-ayrshire.gov.uk,01292 612493,http://annbank.sayr.sch.uk,Yes,Yes,No,No,No,No,Non-denominational
8405522,Glasgow City,Local Authority,Annette Street Primary School,27 Annette Street,,GLASGOW,G42 8YB,906700367770,headteacher@annettestreet-pri.glasgow.sch.uk,0141 423 0192,https://twitter.com/annettestreetps?lang=en,No,Yes,No,No,No,No,Non-denominational
8218323,North Ayrshire,Local Authority,Annick Primary School,Bensley Rise,Girdle Toll,IRVINE,KA11 1BQ,126061545,annick@ea.n-ayrshire.sch.uk,01294 211654,https://blogs.glowscotland.org.uk/na/annick/,No,Yes,No,No,No,No,Non-denominational
5400023,Fife,Local Authority,Anstruther Primary School,St Andrew's Road,Anstruther,FIFE,KY10 3HD,320229200,anstrutherps.enquiries@fife.gov.uk,01334 659447,http://www.fifedirect.org.uk/anstrutherps,Yes,Yes,No,No,No,No,Non-denominational
5759226,Falkirk,Local Authority,Antonine Primary School,Broomhill Road,Bonnybridge,,FK4 2AN,136069117,antonineprimaryschool@falkirk.gov.uk,01324 503140,http://www.antonine.falkirk.sch.uk,Yes,Yes,No,No,No,No,Non-denominational
8411921,Glasgow City,Local Authority,Antonine Primary School,4 Abbotshall Avenue,,GLASGOW,G15 8PR,906700419828,headteacher@antonine-pri.glasgow.sch.uk,0141 944 6923,http://www.antonineprimaryschool.co.uk/,No,Yes,No,No,No,No,Non-denominational
5113229,Highland,Local Authority,Applecross Primary School,Applecross,Strathcarron,ROSS-SHIRE,IV54 8LU,130111500,applecross.primary@highland.gov.uk,01520 744325,http://applecrossprimary.wordpress.com,Yes,Yes,No,No,No,No,Non-denominational
5945429,Dumfries & Galloway,Local Authority,Applegarth School,Lockerbie,Dumfriesshire,,DG11 2SH,137066656,gw08officeapplegarth@ea.dumgal.sch.uk,01576 202228,http://www.dumgal.gov.uk/article/15433/Applegarth-Primary-School,No,Yes,No,No,No,No,Non-denominational
5201527,Moray,Local Authority,Applegrove Primary School,Orchard Road,Forres,MORAY,IV36 1PJ,133001001,admin.applegrovep2@moray-edunet.gov.uk,01309 672367,https://blogs.glowscotland.org.uk/my/Applegrove/,No,Yes,No,No,No,Yes,Non-denominational
5300320,Angus,Local Authority,Arbirlot Primary School,Arbirlot,By Arbroath,,DD11 2PZ,117081285,Arbirlot@angusschools.org.uk,01241 465368,http://www.arbirlot.angus.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
5307031,Angus,Local Authority,Arbroath Academy,Glenisla Drive,Arbroath,,DD11 5JD,117082503,Arbroathacademy@angusschools.org.uk,01241 465200,http://www.arbroathacademy.angus.sch.uk/,No,No,Yes,No,No,Yes,Non-denominational
5307139,Angus,Local Authority,Arbroath High School,Keptie Road,Arbroath,,DD11 3EN,117082306,ArbroathHigh@angusschools.org.uk,01241 465100,http://www.arbroathhigh.angus.sch.uk,No,No,Yes,No,No,Yes,Non-denominational
8214123,North Ayrshire,Local Authority,Ardeer Primary School,Clark Crescent,,STEVENSTON,KA20 3LZ,126060431,ardeer@ea.n-ayrshire.sch.uk,01294 469785,http://www.ardeer.northayrshireschools.co.uk/,Yes,Yes,No,No,No,No,Non-denominational
5137624,Highland,Local Authority,Ardersier Primary School,Ardersier,,,IV2 7SW,130087904,ardersier.primary@highland.gov.uk,01667 462344,http://ardersierprimary.wordpress.com,Yes,Yes,No,No,No,No,Non-denominational
5130220,Highland,Local Authority,Ardgour Primary School,Ardgour,By Fort William,,PH33 7AB,130111296,ardgour.primary@highland.gov.uk,01855 841347,http://ardgourprimaryschool.edublogs.org/,Yes,Yes,No,No,No,No,Non-denominational
8640327,Inverclyde,Local Authority,Ardgowan Primary School,Newton Street,Greenock,,PA16 8SN,119049920,INArdgowan@glowscotland.onmicrosoft.com,01475 715683,http://ardgowan.inverclyde.sch.uk/,No,Yes,No,No,No,No,Non-denominational
5323428,Dundee City,Local Authority,Ardler Primary School,Turnberry Avenue,Dundee,,DD2 3TP,9059054984,ardler.primary@dundeecity.gov.uk,01382 436500,https://www.dundeecity.gov.uk/service-area/children-and-families-service/education/ardler-primary-school,Yes,Yes,No,No,No,No,Non-denominational
5130239,Highland,Local Authority,Ardnamurchan High School,Drimnatorran,Strontian,ACHARCLE,PH36 4JA,130092475,ardnamurchan.high@highland.gov.uk,01397 700105,http://www.ardnamurchanhighschool.org/index.asp,No,No,Yes,No,Yes,No,Non-denominational
8100926,Argyll & Bute,Local Authority,Ardrishaig Primary School,Glengilp Road,Ardrishaig,ARGYLL,PA30 8HF,125030687,enquiries-ardrishaig@argyll-bute.gov.uk,01546 603695,http://www.ardrishaig.argyll-bute.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
5113326,Highland,Local Authority,Ardross Primary School,Ardross,Alness,,IV17 0XW,130109963,ardross.primary@highland.gov.uk,01349 882345,http://ardrossprimary.wordpress.com,No,Yes,No,No,No,No,Non-denominational
8214638,North Ayrshire,Local Authority,Ardrossan Academy,Sorbie Road,,ARDROSSAN,KA22 8AR,126060254,ardrossan@ea.n-ayrshire.sch.uk,01294 461931,http://www.ardrossanacademy.co.uk,No,No,Yes,No,No,Yes,Non-denominational
5251524,Aberdeenshire,Local Authority,Arduthie School,Arduthie Road,Stonehaven,KINCARDINESHIRE,AB39 2DP,151085052,arduthie.sch@aberdeenshire.gov.uk,01569 690515,http://www.arduthie.aberdeenshire.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
8100829,Argyll & Bute,Local Authority,Arinagour Primary School,Arinagour,Isle Of Coll,ARGYLL,PA78 6TA,125041637,enquiries@arinagour.argyll-bute.gov.uk,01879 230376,https://www.argyll-bute.gov.uk/content/arinagour-primary-school,Yes,Yes,No,No,No,No,Non-denominational
5133327,Highland,Local Authority,Arisaig Primary School,Arisaig,,,PH39 4NH,130111375,arisaig.primary@highland.gov.uk,01687 450282,http://arisaigprimary.weebly.com/,Yes,Yes,No,No,No,No,Non-denominational
8626928,Renfrewshire,Local Authority,Arkleston Primary School,Cockels Loan,,RENFREW,PA4 0EL,123077963,arklestonenquiries@renfrewshire.gov.uk,0300 300 0143,http://www.arkleston.renfrewshire.sch.uk/,No,Yes,No,No,No,No,Non-denominational
5509238,West Lothian,Local Authority,Armadale Academy,West Main Street,Armadale,WEST LOTHIAN,EH48 3LY,135009600,wlarmadale-ac@westlothian.org.uk,01506 282145,http://www.armadaleacademy.westlothian.org.uk/,No,No,Yes,No,No,No,Non-denominational
5504627,West Lothian,Local Authority,Armadale Primary School,Academy Street,Armadale,WEST LOTHIAN,EH48 3JD,200004125401,wlarmadale-ps@westlothian.org.uk,01501 730282,http://www.armadaleprimary.westlothian.org.uk,Yes,Yes,No,No,No,No,Non-denominational
5224128,Aberdeenshire,Local Authority,Arnage School,Auchnagatt,Ellon,ABERDEENSHIRE,AB41 8UX,151113034,arnage.sch@aberdeenshire.gov.uk,01358 281075,http://www.arnage.aberdeenshire.sch.uk/,No,Yes,No,No,No,No,Non-denominational
5340721,Perth & Kinross,Local Authority,Arngask Primary School,Main Street,Glenfarg,PERTH,PH2 9NT,124016952,Arngask@pkc.gov.uk,01577 867250,http://arngaskprimary.weebly.com,Yes,Yes,No,No,No,No,Non-denominational
8200831,North Ayrshire,Local Authority,Arran High School,Lamlash,,ISLE OF ARRAN,KA27 8NG,126073240,arran@ea.n-ayrshire.sch.uk,01770 600341,http://arranhigh.co.uk,No,No,Yes,No,No,No,Non-denominational
8300925,Argyll & Bute,Local Authority,Arrochar Primary School,Tarbet,Arrochar,,G83 7DG,125054799,enquiries-arrochar@argyll-bute.gov.uk,01301 702261,http://www.arrochar.argyll-bute.sch.uk,Yes,Yes,No,No,No,No,Non-denominational
5237823,Aberdeen City,Local Authority,Ashley Road School,45 Ashley Road,Aberdeen,,AB10 6RU,9051044960,ashleyroad@aberdeencity.gov.uk,01224 588732,http://www.ashleyroad.aberdeen.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
8410429,Glasgow City,Local Authority,Ashpark Primary School,75 Kyleakin Road,,GLASGOW,G46 8DQ,906700429981,headteacher@ashpark-pri.glasgow.sch.uk,0141 638 6135,https://blogs.glowscotland.org.uk/gc/ashparkprimaryschool/,No,Yes,No,No,No,No,Non-denominational
1003135,Glasgow City,Local Authority,Ashton Secondary School,100 Avenue End Road,,GLASGOW,G33 3SW,906700008741,headteacher@ashton-sec.glasgow.sch.uk,0141 774 3428,https://www.glasgow.gov.uk/index.aspx?articleid=18220,No,No,No,Yes,No,No,Inter-denominational
5552729,East Lothian,Local Authority,Athelstaneford Primary School,Athelstaneford,North Berwick,EAST LOTHIAN,EH39 5BE,138029558,athelstaneford.ps@athelstaneford.elcschool.org.uk,01620 880241,http://edubuzz.org/athelstaneford/,Yes,Yes,No,No,No,No,Non-denominational
5249821,Aberdeenshire,Local Authority,Auchenblae School,Auchenblae,Fordoun,KINCARDINESHIRE,AB30 1WQ,151109682,auchenblae.sch@aberdeenshire.gov.uk,01561 400665,http://www.auchenblae.aberdeenshire.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
5915023,Dumfries & Galloway,Local Authority,Auchencairn School,Auchencairn,Castle Douglas,,DG7 1QU,137023846,gw08officeauchencair@ea.dumgal.sch.uk,01556 640236,http://www.dumgal.gov.uk/article/15434/Auchencairn-Primary-School,No,Yes,No,No,No,No,Non-denominational
8545227,South Lanarkshire,Local Authority,Auchengray Primary School,Auchengray Road,,CARNWATH,ML11 8LN,484178789,office@auchengray-pri.s-lanark.sch.uk,01501 785245,http://www.auchengray-pri.s-lanark.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
8216134,North Ayrshire,Local Authority,Auchenharvie Academy,Saltcoats Road,,STEVENSTON,KA20 3JW,126060372,auchenharvie@ea.n-ayrshire.sch.uk,01294 605156,http://www.auchenharvieacademy.com/,No,No,Yes,No,No,No,Non-denominational
8622620,Renfrewshire,Local Authority,Auchenlodment Primary School,Aspen Place,,JOHNSTONE,PA5 9QQ,123017961,auchenlodmentenquiries@renfrewshire.gov.uk,0300 300 0145,http://www.auchenlodment.renfrewshire.sch.uk/,Yes,Yes,No,No,No,No,Non-denominational
8240620,East Ayrshire,Local Authority,Auchinleck Primary School,Dalsalloch Road,Auchinleck,,KA18 2BU,127036355,jacqueline.hanlon@east-ayrshire.gov.uk,01290 420504,https://blogs.glowscotland.org.uk/ea/auchinleckprimaryschoolandecc/,No,Yes,No,No,No,No,Non-denominational
