Institution Reference Number,Institution Name,Address Line 1,Address Line 2,Address Line 3,Town,County,Postcode,Telephone,Management,Type,Status,Date Closed,Email,
101-0323,Edenbrooke Primary School ,230 TENNENT STREET,,,BELFAST,ANTRIM,BT13 3GG,028 9035 1528,Controlled,Primary,Open,,info@edenbrooke.belfast.ni.sch.uk,
101-0324,Stranmillis Primary School ,KNIGHTSBRIDGE PARK,,,BELFAST,ANTRIM,BT9 5EH ,028 9038 1164,Controlled,Primary,Open,,info@stranmillis.belfast.ni.sch.uk,
101-0325,Ligoniel Primary School ,LIGONIEL ROAD,,,BELFAST,ANTRIM,BT14 8BW,028 9039 1502,Controlled,Primary,Open,,info@ligoniel.belfast.ni.sch.uk,
101-0806,Finaghy Primary School ,38 FINAGHY ROAD SOUTH,,,BELFAST,ANTRIM,BT10 0DR,028 9061 2623,Controlled,Primary,Open,,info@finaghy.belfast.ni.sch.uk,
101-0831,Cavehill Primary School ,UPPER CASTLE PARK,,,BELFAST,ANTRIM,BT15 5FG,028 9077 7703,Controlled,Primary,Open,,info@cavehill.belfast.ni.sch.uk,
101-3018,Knocknagoney Primary School ,KNOCKNAGONEY ROAD,,,BELFAST,ANTRIM,BT4 2NR ,028 9076 8496,Controlled,Primary,Open,,info@knocknagoney.belfast.ni.sch.uk,
101-6059,Blackmountain Primary School ,BLACK MOUNTAIN PLACE,,,BELFAST,ANTRIM,BT13 3TT,028 9032 6086,Controlled,Primary,Open,,info@blackmountain.belfast.ni.sch.uk,
101-6060,Donegall Road Primary School ,MALDON STREET,,,BELFAST,ANTRIM,BT12 6HE,028 9032 3018,Controlled,Primary,Open,,info@donegallroad.belfast.ni.sch.uk,
101-6076,Ballysillan Primary School ,BALLYSILLAN PARK,,,BELFAST,ANTRIM,BT14 8LT,028 9039 1668,Controlled,Primary,Open,,info@ballysillan.belfast.ni.sch.uk,
101-6205,Fane Street Primary School ,FANE STREET,,,BELFAST,ANTRIM,BT9 7BW ,028 9038 1945,Controlled,Primary,Open,,info@fanestreet.belfast.ni.sch.uk,
101-6207,Blythefield Primary School ,BLYTHE STREET,,,BELFAST,ANTRIM,BT12 5HX,028 9032 8343,Controlled,Primary,Open,,info@blythefield.belfast.ni.sch.uk,
101-6242,Dundela Infants School,WILGAR STREET,,,BELFAST,ANTRIM,BT4 3BL ,028 9047 1234,Controlled,Primary,Open,,info@dundela.belfast.ni.sch.uk,
101-6485,Glenwood Primary School ,4-22 UPPER RIGA STREET,,,BELFAST,ANTRIM,BT13 3GW,028 9032 8341,Controlled,Primary,Open,,info@glenwood.belfast.ni.sch.uk,
101-6498,Malvern Primary School ,25-35 FORSTER STREET,,,BELFAST,ANTRIM,BT13 1HW,028 9024 3803,Controlled,Primary,Open,,info@malvern.belfast.ni.sch.uk,
101-6499,Botanic Primary School ,6 BOTANIC COURT,,,BELFAST,ANTRIM,BT7 1QY ,028 9032 8346,Controlled,Primary,Open,,info@botanic.belfast.ni.sch.uk,
101-6532,Wheatfield Primary School ,ALLIANCE ROAD,,,BELFAST,ANTRIM,BT14 7JE,028 9039 1961,Controlled,Primary,Open,,info@wheatfield.belfast.ni.sch.uk,
101-6537,Lowwood Primary School ,SHERINGHURST PARK,,,BELFAST,ANTRIM,BT15 4BL,028 9037 0094,Controlled,Primary,Open,,info@lowwood.belfast.ni.sch.uk,
101-6604,Harmony Primary School ,FORTHRIVER CRESCENT,,,BELFAST,ANTRIM,BT13 3SY,028 9039 1332,Controlled,Primary,Open,,info@harmony.belfast.ni.sch.uk,
101-6647,Bunscoil Mhic Reachtain,10A LANCASTER STREET,,,BELFAST,ANTRIM,BT15 1EZ,028 9032 2409,Controlled,Primary,Open,,info@bunscoilmhicreachtain.belfast.ni.sch.uk,
101-6655,Victoria Park Primary School,Strandburn Street,,,BELFAST,ANTRIM,BT4  1LX,02890 471274,Controlled,Primary,Open,,info@victoriaparkps.belfast.ni.sch.uk,
103-0194,Holy Cross Boys' Primary School ,BROOKFIELD STREET,,,BELFAST,ANTRIM,BT14 7EX,028 9035 1032,Roman Catholic Maintained,Primary,Open,,info@holycrossboys.belfast.ni.sch.uk,
103-0313,Our Lady of Lourdes Primary School ,700 ANTRIM ROAD,,,BELFAST,ANTRIM,BT15 5GQ,028 9037 0686,Roman Catholic Maintained,Primary,Open,,info@ourladyoflourdes.belfast.ni.sch.uk,
103-0326,Our Lady's Girls' Primary School ,DEANBY GARDENS,,,BELFAST,ANTRIM,BT14 6NN,028 9074 6325,Roman Catholic Maintained,Primary,Open,,info@ourladysgirlsprimary.belfast.ni.sch.uk,
103-0327,Holy Rosary Primary School ,70 SUNNYSIDE CRESCENT,,,BELFAST,ANTRIM,BT7 3DB ,028 90-491817,Roman Catholic Maintained,Primary,Open,,info@holyrosary.belfast.ni.sch.uk,
103-0331,Holy Cross Girls' Primary School ,ARDOYNE ROAD,,,BELFAST,ANTRIM,BT14 7HZ,028 9039 1771,Roman Catholic Maintained,Primary,Open,,info@holycrossgirls.belfast.ni.sch.uk,
103-0868,St Anne's Primary School ,50 KINGSWAY,LISBURN ROAD,,BELFAST,ANTRIM,BT10 0NE,028 9061 5414,Roman Catholic Maintained,Primary,Open,,info@stannes.belfast.ni.sch.uk,
103-6041,Mercy Primary School ,614 CRUMLIN ROAD,,,BELFAST,ANTRIM,BT14 7GL,028 9039 1670,Roman Catholic Maintained,Primary,Open,,info@mercy.belfast.ni.sch.uk,
103-6042,St Vincent de Paul Primary School ,165A LIGONIEL ROAD,,,BELFAST,ANTRIM,BT14 8DP,028 9071 7920,Roman Catholic Maintained,Primary,Open,,info@stvincentdepaul.belfast.ni.sch.uk,
103-6048,St Mary's Star of the Sea Primary School ,730-760 SHORE ROAD,,,BELFAST,ANTRIM,BT15 4HL,028 9037 0023,Roman Catholic Maintained,Primary,Open,,info@stmarysstarofthesea.belfast.ni.sch.uk,
103-6075,St Bride's Primary School ,36 DERRYVOLGIE AVENUE,,,BELFAST,ANTRIM,BT9 6FP ,028 9038 1700,Roman Catholic Maintained,Primary,Open,,info@stbrides.belfast.ni.sch.uk,
103-6132,St Therese of Lisieux Primary School ,472 ANTRIM ROAD,,,BELFAST,ANTRIM,BT15 5GF,028 9077 0215,Roman Catholic Maintained,Primary,Open,,info@stthereseoflisieux.belfast.ni.sch.uk,
103-6140,St Michael's Primary School ,514 RAVENHILL ROAD,,,BELFAST,ANTRIM,BT6 0BW ,028 9049 1529,Roman Catholic Maintained,Primary,Open,,info@stmichaels.belfast.ni.sch.uk,
103-6246,St Joseph's Primary School ,31A HOLLAND DRIVE,,,BELFAST,ANTRIM,BT5 6EH ,028 9065 0039,Roman Catholic Maintained,Primary,Open,,info@stjosephsps.belfast.ni.sch.uk,
103-6388,St Mary's Primary School; Divis Street,DIVIS STREET,,,BELFAST,ANTRIM,BT12 4AL,028 9024 8519,Roman Catholic Maintained,Primary,Open,,info@stmarysps.belfast.ni.sch.uk,
103-6466,St Malachy's Primary School ,1 ELIZA STREET,,,BELFAST,ANTRIM,BT7  2BJ,028 9032 7460,Roman Catholic Maintained,Primary,Open,,info@stmalachysps.belfast.ni.sch.uk,
103-6471,Sacred Heart Primary School ,31-51 OLDPARK AVENUE,,,BELFAST,ANTRIM,BT14 6HH,028 9074 0521,Roman Catholic Maintained,Primary,Open,,info@sacredheartboys.belfast.ni.sch.uk,
103-6505,St Matthew's Primary School ,SEAFORDE STREET,,,BELFAST,ANTRIM,BT5 4EW ,028 9045 7885,Roman Catholic Maintained,Primary,Open,,info@stmatthewsps.belfast.ni.sch.uk,
103-6565,St Kevin's Primary School ,446 FALLS ROAD,,,BELFAST,ANTRIM,BT12 6EN,028 9032 6791,Roman Catholic Maintained,Primary,Open,,info@stkevins.belfast.ni.sch.uk,
103-6566,Holy Family Primary School ,14 NEWINGTON AVENUE,,,BELFAST,ANTRIM,BT15 2HP,028 9035 1023,Roman Catholic Maintained,Primary,Open,,info@holyfamily.belfast.ni.sch.uk,
103-6576,Holy Child Primary School ,5 SOUTH GREEN,ANDERSONSTOWN,,BELFAST,ANTRIM,BT11 8JF,028 9061 4823,Roman Catholic Maintained,Primary,Open,,info@holychild.belfast.ni.sch.uk,
103-6589,St Teresa's Primary School ,GLEN ROAD,,,BELFAST,ANTRIM,BT11 8BL,028 90 611943,Roman Catholic Maintained,Primary,Open,,info@stteresas.belfast.ni.sch.uk,
103-6602,St Oliver Plunkett Primary School ,452 GLEN ROAD,,,BELFAST,ANTRIM,BT11 8AY,028 9080 6777,Roman Catholic Maintained,Primary,Open,,info@stoliverplunkett.belfast.ni.sch.uk,
103-6620,St Peter's Primary School ,ROSS ROAD,,,BELFAST,ANTRIM,BT12 4JD,028 9024 2271,Roman Catholic Maintained,Primary,Open,,info@stpeters.belfast.ni.sch.uk,
103-6621,St Joseph's Primary School ,CULLINGTREE ROAD,,,BELFAST,ANTRIM,BT12 4LD,028 9032 3683,Roman Catholic Maintained,Primary,Open,,info@stjosephsslatestreet.belfast.ni.sch.uk,
103-6623,Holy Trinity Primary School ,MONAGH ROAD,,,BELFAST,ANTRIM,BT11 8EG,028 9061 6465,Roman Catholic Maintained,Primary,Open,,info@holytrinity.belfast.ni.sch.uk,
103-6624,St Paul's Primary School ,34-36 MICA DRIVE,,,BELFAST,ANTRIM,BT12 7NN,028 9032 8968,Roman Catholic Maintained,Primary,Open,,info@stpaulsmica.belfast.ni.sch.uk,
103-6630,St Clare's Primary School,323 CUPAR STREET,CLONARD,,BELFAST,ANTRIM,BT13 2SE,028 9033 0852,Roman Catholic Maintained,Primary,Open,,info@stclares.belfast.ni.sch.uk,
103-6688,St John the Baptist Primary School ,FINAGHY ROAD NORTH,,,BELFAST,ANTRIM,BT11 9EH,028 9061 4546,Roman Catholic Maintained,Primary,Open,,info@stjohnthebaptistps.belfast.ni.sch.uk ,
103-6697,John Paul II Primary School ,Whiterock Road,,,BELFAST,ANTRIM,BT12 7FW,9032 0565,Roman Catholic Maintained,Primary,Open,,info@johnpaul2ndps.belfast.ni.sch.uk,
103-6698,St Patricks Primary School,3 Churchill Street,,,BELFAST,ANTRIM,BT15 2BP,02890 351478,Roman Catholic Maintained,Primary,Open,,info@stpatricksps.belfast.ni.sch.uk,
104-6501,Bunscoil Phobal Feirste,11 ROSGOILL PARK,,,BELFAST,ANTRIM,BT11 9QS,028 9030 1598,Other Maintained,Primary,Open,,info@bunscoilphobalfeirste.belfast.ni.sch.uk,
104-6571,Gaelscoil na BhFál,34A IVEAGH CRESCENT,,,BELFAST,ANTRIM,BT12 6AW,028 9023 6877,Other Maintained,Primary,Open,,info@gaelscoilnabhfal.belfast.ni.sch.uk,
104-6593,Bunscoil An Tsleibhe Dhuibh,15A Ballymurphy Road,,,BELFAST,ANTRIM,BT12 7JL,028 9023 7146,Other Maintained,Primary,Open,,info@bunscoilantsleibhedhuibh.belfast.ni.sch.uk,
104-6596,Naíscoil & Bunscoil Bheann Mhadagáin,WYNDHAM DRIVE,,,BELFAST,ANTRIM,BT14 6HP,028 9074 7184,Other Maintained,Primary,Open,,info@bunscoilbheannmhadagain.belfast.ni.sch.uk,
104-6641,Scoil an Droichid,22 COOKE STREET,,,BELFAST,ANTRIM,BT7  2EP,028 9031 3283,Other Maintained,Primary,Open,,info@scoilandroichid.belfast.ni.sch.uk,
104-6671,Gaelscoil na Móna,1 MONAGH LINK,,,BELFAST,ANTRIM,BT11 8QB,028 90 611588,Other Maintained,Primary,Open,,info@gaelscoilnamona.belfast.ni.sch.uk,
104-6672,Gaelscoil an Lonnain,61 Falls Road ,Belfast,,BELFAST,ANTRIM,BT12 4PD,028 90 240241,Other Maintained,Primary,Open,,info@gaelscoilanlonnain.belfast.ni.sch.uk,
105-6483,Cliftonville Integrated Primary School ,93 CLIFTONVILLE ROAD,,,BELFAST,ANTRIM,BT14 6JQ,028 9035 1638,Controlled Integrated,Primary,Open,,info@cliftonville.belfast.ni.sch.uk,
105-6535,Forge Integrated Primary School ,20 CAROLAN ROAD,,,BELFAST,ANTRIM,BT7 3HE ,028 9049 2177,Controlled Integrated,Primary,Open,,info@forge.belfast.ni.sch.uk,
106-6531,Hazelwood Primary School ,242 WHITEWELL ROAD,,,NEWTOWNABBEY,ANTRIM,BT36 7EN,028 9077 0421,Grant Maintained Integrated,Primary,Open,,info@hazelwoodintegratedps.belfast.ni.sch.uk,
106-6580,Cranmore Integrated Primary School ,47 FINAGHY ROAD NORTH,,,BELFAST,ANTRIM,BT10 0JB,028 90664410,Grant Maintained Integrated,Primary,Open,,info@cranmore.belfast.ni.sch.uk,
111-0001,Arellian Nursery School,50 BENTHAM DRIVE,DONEGALL ROAD,,BELFAST,ANTRIM,BT12 5NS,028 9032 5280,Controlled,Nursery,Open,,info@arellianns.belfast.ni.sch.uk,
111-0002,Mcarthur Nursery School,SUSAN STREET,,,BELFAST,ANTRIM,BT5  4FE,028 9045 1965,Controlled,Nursery,Open,,mcarthurnurseryschool@hotmail.com,
111-0003,Edenderry Nursery School,1 MAYO LINK ,,,BELFAST,ANTRIM,BT13 3BD,028 9023 8651,Controlled,Nursery,Open,,info@edenderryns.belfast.ni.sch.uk,
111-0007,Glenbank Nursery School,LIGONIEL ROAD,,,BELFAST,ANTRIM,BT14 8BW,028 9039 1724,Controlled,Nursery,Open,,info@glenbankns.belfast.ni.sch.uk,
111-0025,Tudor Lodge Nursery School,TUDOR PLACE; CRUMLIN ROAD,,,BELFAST,ANTRIM,BT13 1LY,028 9035 1684,Controlled,Nursery,Open,,info@tudorlodgens.belfast.ni.sch.uk,
111-0028,Brefne Nursery School,111 SALISBURY AVE,,,BELFAST,ANTRIM,BT15 5EB,028 9077 6270,Controlled,Nursery,Open,,info@brefnens.belfast.ni.sch.uk,
111-0036,New Lodge Nursery School,DUNCAIRN PARADE,,,BELFAST,ANTRIM,BT15 2ET,028 9074 3073,Controlled,Nursery,Open,,info@newlodgens.belfast.ni.sch.uk,
111-0038,Shaftesbury Nursery School,23-25 PERCY STREET,,,BELFAST,ANTRIM,BT13 2HS,028 9032 1903,Controlled,Nursery,Open,,info@shaftesburyns.belfast.ni.sch.uk,
111-6011,Victoria Nursery School,1-3 VICTORIA PARADE,,,BELFAST,ANTRIM,BT15 2EP,028 9074 4247,Controlled,Nursery,Open,,info@victorians.belfast.ni.sch.uk,
111-6074,Glendhu Nursery School,GLENDHU MANOR,GARNERVILLE ROAD,,BELFAST,ANTRIM,BT4 2RJ ,028 9076 8462,Controlled,Nursery,Open,,info@glendhuns.belfast.ni.sch.uk,
111-6155,Hope Nursery School,104 HOPEWELL CRESCENT,,,BELFAST,ANTRIM,BT13 1DP,028 9032 3185,Controlled,Nursery,Open,,info@hopens.belfast.ni.sch.uk,
111-6157,Stanhope Street Nursery School,STANHOPE DRIVE,,,BELFAST,ANTRIM,BT13 1BX,028 9032 4748,Controlled,Nursery,Open,,info@stanhopestreetns.belfast.ni.sch.uk,
111-6158,Ravenscroft Nursery School,RAVENSCROFT AVENUE,,,BELFAST,ANTRIM,BT5 5BA ,028 9047 1684,Controlled,Nursery,Open,,info@ravenscroftns.belfast.ni.sch.uk,
111-6159,Oldpark Nursery School,SYLVAN STREET,,,BELFAST,ANTRIM,BT14 6GN,028 9074 5133,Controlled,Nursery,Open,,info@oldparkns.belfast.ni.sch.uk,
111-6160,Sandbrook Nursery School,WELLWOOD AVENUE,,,BELFAST,ANTRIM,BT4 1NG ,028 9067 1115,Controlled,Nursery,Open,,info@sandbrookns.belfast.ni.sch.uk,
113-0027,Bethlehem Nursery School,516 RAVENHILL ROAD,,,BELFAST,ANTRIM,BT6 0BW ,028 9064 0406,Roman Catholic Maintained,Nursery,Open,,info@bethlehemns.belfast.ni.sch.uk,
113-6106,St Martin's Nursery School,MONAGH LINK,TURF LODGE,,BELFAST,ANTRIM,BT11 8EF,028 9062 2235,Roman Catholic Maintained,Nursery,Open,,info@stmartinsns.belfast.ni.sch.uk,
113-6228,St Bernadette's Nursery School,GLENALINA ROAD,,,BELFAST,ANTRIM,BT12 7JG,028 9032 8601,Roman Catholic Maintained,Nursery,Open,,info@stbernadettesns.belfast.ni.sch.uk,
113-6229,St Mary's Nursery School,822 SHORE ROAD,,,NEWTOWNABBEY,ANTRIM,BT36 7DG,028 9077 4302,Roman Catholic Maintained,Nursery,Open,,info@stmarysns.belfast.ni.sch.uk,
113-6251,Our Lady's Nursery School,9 DEANBY GARDENS,,,BELFAST,ANTRIM,BT14 6NN,028 9035 1978,Roman Catholic Maintained,Nursery,Open,,info@ourladysns.belfast.ni.sch.uk,
113-6289,Holy Rosary Nursery School,SUNNYSIDE CRESCENT,,,BELFAST,ANTRIM,BT7 3DB ,028 9049 1314,Roman Catholic Maintained,Nursery,Open,,info@holyrosaryns.belfast.ni.sch.uk,
113-6314,St Teresa's Nursery School,24 BERNAGH GLEN,,,BELFAST,ANTRIM,BT11 8HR,028 9061 6944,Roman Catholic Maintained,Nursery,Open,,info@stteresasns.belfast.ni.sch.uk,
113-6315,St Michael's Nursery School,2 STEWARTSTOWN ROAD,,,BELFAST,ANTRIM,BT11 9JP,028 9043 1040,Roman Catholic Maintained,Nursery,Open,,info@stmichaelsns.belfast.ni.sch.uk,
113-6316,Holy Child Nursery School,40 SLIEVEGALLION DRIVE,ANDERSONSTOWN ROAD,,BELFAST,ANTRIM,BT11 8JP,028 9062 7732,Roman Catholic Maintained,Nursery,Open,,info@holychildns.belfast.ni.sch.uk,
113-6340,St Peter's Nursery School,SERVIA STREET,,,BELFAST,ANTRIM,BT12 4EJ,028 9024 6675,Roman Catholic Maintained,Nursery,Open,,info@stpetersns.belfast.ni.sch.uk,
113-6349,Matt Talbot Nursery School,NEW BARNSLEY GREEN,,,BELFAST,ANTRIM,BT12 7HS,028 9032 1997,Roman Catholic Maintained,Nursery,Open,,info@matttalbotns.belfast.ni.sch.uk,
113-6353,St Maria Goretti Nursery School,WHITEROCK GARDENS,,,BELFAST,ANTRIM,BT12 7PS,028 9023 4882,Roman Catholic Maintained,Nursery,Open,,info@stmariagorettins.belfast.ni.sch.uk,
113-6360,Holy Cross Nursery School,BUTLER WALK,,,BELFAST,ANTRIM,BT14 7NZ,028 9074 5672,Roman Catholic Maintained,Nursery,Open,,info@holycrossns.belfast.ni.sch.uk,
113-6383,St Oliver Plunkett Nursery School,GLEN ROAD,,,BELFAST,ANTRIM,BT11 8AY,028 9060 0529,Roman Catholic Maintained,Nursery,Open,,info@stoliverplunkettns.belfast.ni.sch.uk,
113-6603,The Cathedral Nursery School,45A ALBERT STREET,,,BELFAST,ANTRIM,BT12 4HB,028 9043 9340,Roman Catholic Maintained,Nursery,Open,,info@thecathedralns.belfast.ni.sch.uk,
121-0014,Ashfield Girls' High School,397 HOLYWOOD ROAD,,,BELFAST,ANTRIM,BT4  2LY,028 9047 1744,Controlled,Secondary,Open,,info@ashgirls.belfast.ni.sch.uk,
121-0015,Ashfield Boys' High School,395 HOLYWOOD ROAD,,,BELFAST,ANTRIM,BT4  2LY,028 9065 6812,Controlled,Secondary,Open,,info@ashfieldboys.belfast.ni.sch.uk,
121-0021,Belfast Model School For Girls,35 Dunowen Gardens                                   ,,,BELFAST,ANTRIM,BT14 6NQ,02890 718111,Controlled,Secondary,Open,,info@girlsmodel.belfast.ni.sch.uk,
121-0022,Belfast Boys' Model School,BALLYSILLAN ROAD,,,BELFAST,ANTRIM,BT14 6RB,028 9039 1156,Controlled,Secondary,Open,,info@bbms.belfast.ni.sch.uk,
123-0053,St Louise's Comprehensive College,468 FALLS ROAD,,,BELFAST,ANTRIM,BT12 6EN,028 9032 5631,Roman Catholic Maintained,Secondary,Open,,info@stlouises.belfast.ni.sch.uk,
123-0104,Mercy College Belfast ,BALLYSILLAN ROAD,,,BELFAST,ANTRIM,BT14 7QR,028 9039 1769,Roman Catholic Maintained,Secondary,Open,, info@mercycollege.belfast.ni.sch.uk ,
123-0155,St Genevieve's High School,TRENCH HOUSE,87 STEWARTSTOWN ROAD,,BELFAST,ANTRIM,BT11 9JP,028 90925670,Roman Catholic Maintained,Secondary,Open,,info@stgenevieves.belfast.ni.sch.uk,
123-0182,De La Salle College,EDENMORE DRIVE,,,BELFAST,ANTRIM,BT11 8LT,028 9050 8800,Roman Catholic Maintained,Secondary,Open,,info@delasallecollege.belfast.ni.sch.uk,
123-0275,St Joseph's College,518-572 RAVENHILL ROAD,,,BELFAST,ANTRIM,BT6 0BY ,028 9049 1280,Roman Catholic Maintained,Secondary,Open,,info@stjosephs.belfast.ni.sch.uk,
123-0321,Blessed Trinity College ,619 Antrim Road,,,BELFAST,ANTRIM,BT15 4DZ,028 9037 0665,Roman Catholic Maintained,Secondary,Open,,info@trinitycollege.belfast.ni.sch.uk,
123-0324,All Saints College,Glen Road ,,,BELFAST,ANTRIM,BT11 8BW,,Roman Catholic Maintained,Secondary,Open,,info@allsaintscollege.belfast.ni.sch.uk,
124-0291,Coláiste Feirste,7 BEECHVIEW PARK,FALLS ROAD,,BELFAST,ANTRIM,BT12 7PY,028 9032 0707,Other Maintained,Secondary,Open,,info@colaistefeirste.belfast.ni.sch.uk,
126-0269,Hazelwood College,70 WHITEWELL ROAD,,,NEWTOWNABBEY,ANTRIM,BT36 7ES,028 9077 4202,Grant Maintained Integrated,Secondary,Open,,info@hazelwood.belfast.ni.sch.uk,
126-0294,Malone Integrated College,45 FINAGHY ROAD,,,BELFAST,ANTRIM,BT10 OJB,028 9038 1988,Grant Maintained Integrated,Secondary,Open,,info@malonecollege.belfast.ni.sch.uk,
131-0003,Cedar Lodge Special School,24 Landsdowne Park North,Belfast ,,BELFAST,ANTRIM,BT15 4AE,028 9077 7292,Controlled,Special,Open,,info@cedarlodge.belfast.ni.sch.uk,
131-0012,Fleming Fulton Special School,35 UPPER MALONE ROAD,,,BELFAST,ANTRIM,BT9  6TY,028 9061 1917,Controlled,Special,Open,,info@ffs.belfast.ni.sch.uk,
131-0014,Harberton Special School,HARBERTON PARK,,,BELFAST,ANTRIM,BT9  6TX,028 9038 1525,Controlled,Special,Open,,info@harberton.belfast.ni.sch.uk,
131-0016,Mitchell House Special School,1A MARMONT DRIVE,405 HOLYWOOD ROAD,,BELFAST,ANTRIM,BT4  2GT,028 9076 0292,Controlled,Special,Open,,info@mitchellhouse.belfast.ni.sch.uk,
131-0017,Greenwood House Assessment Centre,10 GREENWOOD AVENUE,UPPER NEWTOWNARDS ROAD,,BELFAST,ANTRIM,BT4  3JJ,028 9047 1000,Controlled,Special,Open,,info@greenwood.belfast.ni.sch.uk,
131-6500,Park Education Resource Centre,145 RAVENHILL ROAD,,,BELFAST,ANTRIM,BT6  8GH,028 9045 0513,Controlled,Special,Open,,info@park.belfast.ni.sch.uk,
131-6560,Belfast Hospital School,ROYAL BEL.HOS. SICK CHILDREN,FALLS ROAD,,BELFAST,ANTRIM,BT12 6BE,028 9063 3498,Controlled,Special,Open,,info@belfasthospitalschool.belfast.ni.sch.uk,
131-6569,Glenveagh Special School,HARBERTON PARK,,,BELFAST,ANTRIM,BT9  6TX,028 9066 9907,Controlled,Special,Open,,info@glenveagh.belfast.ni.sch.uk,
131-6582,Oakwood School and Assessment Centre,HARBERTON PARK,,,BELFAST,ANTRIM,BT9  6TX,028 9060 5116,Controlled,Special,Open,,info@oakwood.belfast.ni.sch.uk,
131-6584,Clarawood Special School,CLARAWOOD PARK,,,BELFAST,ANTRIM,BT5  6FR,028 9047 2736,Controlled,Special,Open,,info@clarawood.belfast.ni.sch.uk,
133-6548,St Gerard’s School and Support Services,Blacks Road,,,BELFAST,ANTRIM,BT10 0NB,028 90603035,Roman Catholic Maintained,Special,Open,,info@stgerardsrc.belfast.ni.sch.uk,
141-0079,Grosvenor Grammar School,50 Marina Park,,,BELFAST,ANTRIM,BT5  6BA,028 9070 2777,Controlled,Grammar,Open,,info@grosvenor.belfast.ni.sch.uk,
141-0270,Wellington College,18 CAROLAN ROAD,,,BELFAST,ANTRIM,BT7 3HE ,028 9064 2539,Controlled,Grammar,Open,,info@wellington.belfast.ni.sch.uk,
141-0315,Bloomfield Collegiate,8 ASTORIA GARDENS,,,BELFAST,ANTRIM,BT5  6HW,028 9047 1214,Controlled,Grammar,Open,,info@bloomfield.belfast.ni.sch.uk,
142-0020,Campbell College,BELMONT ROAD,,,BELFAST,ANTRIM,BT4 2ND ,028 9076 3076,Voluntary,Grammar,Open,,info@campbell.belfast.ni.sch.uk,
142-0021,St Mary's Christian Brothers' Grammar School,147A GLEN ROAD,,,BELFAST,ANTRIM,BT11 8NR,028 9029 4000,Voluntary,Grammar,Open,,info@stmarys.belfast.ni.sch.uk,
